ref,volume_title,section_title,chapter_title
"Sefer Puah, First Volume; Family and Purity, II Family Purity 16:1",,,16) Between a Man and His Wife / טז) בין איש לאשתו
"Sefer Puah, First Volume; Family and Purity, II Family Purity 17:1",,,17) Purity Examiners and Halachic Advisors / יז) בודקות טהרה ויועצות הלכה
"Sefer Puah, First Volume; Family and Purity, III Immersion and Interposition in Complex Situations 18:1",,III Immersion and Interposition in Complex Situations / חלק שלישי; טבילה וחציצה במצבים מורכבים,18) Special Situations in Immersion / יח) מצבים מיוחדים בטבילה
"Sefer Puah, First Volume; Family and Purity, III Immersion and Interposition in Complex Situations 19:1",,,19) Interposition in Immersion / יט) חציצה בטבילה
"Sefer Puah, First Volume; Family and Purity, IV Laws of Medical Examination 20:1",,IV Laws of Medical Examination / חלק רביעי; הלכות בדיקת רופא,20) The Physician / כ) הרופא
"Sefer Puah, First Volume; Family and Purity, IV Laws of Medical Examination 21:1",,,21) Seclusion in Medical Examination / כא) ייחוד בבדיקה רפואית
"Sefer Puah, First Volume; Family and Purity, IV Laws of Medical Examination 22:1",,,22) Medical Examinations; When They Prohibit / כב) בדיקות רפואיות; מתי אוסרות
"Sefer Puah, First Volume; Family and Purity, IV Laws of Medical Examination 23:1",,,23) Medical Halachic Dilemmas / כג) דילמות רפואיות הלכתיות
"Sefer Puah, First Volume; Family and Purity, IV Laws of Medical Examination 24:1",,,24) The Relationship Between the Rabbi and the Physician / כד) הקשר בין הרב לרופא
"Sefer Puah, Second Volume; Fertility, V Marital Relations 25:1",Volume II; Fertility / כרך שני; פוריות,V Marital Relations / חלק חמישי; חיי אישות,25) Be Fruitful and Multiply / כה) פרייה ורבייה
"Sefer Puah, Second Volume; Fertility, V Marital Relations 26:1",,,26) Marital Relations Between Spouses / כו) חיי האישות בין בני הזוג
"Sefer Puah, Second Volume; Fertility, V Marital Relations 27:1",,,27) Absence of Conjugal Rights and Its Effects / כז) אין אונות והשפעותיה
"Sefer Puah, Second Volume; Fertility, V Marital Relations 28:1",,,28) Difficulties in Marital Relations for the Woman / כח) קשיים בחיי האישות אצל האישה
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 29:1",,VI Investigation and Diagnosis of Infertility / חלק שישי; בירור ואבחון אי פוריות,29) Investigation of Infertility; Introductory Chapter / כט) בירור אי פוריות; פרק מבוא
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 30:1",,,"30) Smoking, Alcohol, Medications and Their Effect on Fertility / ל) עישון, אלכוהול, תרופות והשפעתם על הפוריות"
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 31:1",,,31) Diagnosis of Infertility in Women; General Medical Introduction / לא) אבחון אי פוריות אצל האישה; הקדמה רפואית כללית
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 32:1",,,32) Examination of Ovulation and Its Timing / לב) בדיקת ביוץ ומועדו
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 33:1",,,33) Halachic Infertility; Medical Appendices / לג) עקרות הלכתית; נספחים רפואיים
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 34:1",,,34) Hormonal Disorders; Endocrinology / לד) הפרעות הורמונליות; אנדוקרינולוגיה
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 35:1",,,"35) Appendix; Endocrinology; Girls, Adolescent Girls and Adolescent Boys / לה) נספח; אנדוקרינולוגיה; ילדות, מתבגרות ומתבגרים"
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 36:1",,,36) Polycystic Ovary Syndrome (PCOS) / לו) שחלות פוליציסטיות
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 37:1",,,37) Medical Tests for Diagnosing Infertility Due to Mechanical Causes in Women / לז) בדיקות רפואיות לאבחון אי פוריות על רקע מכני אצל האישה
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 38:1",,,38) Fibroids (Myomas) and Polyps / לח) שרירנים (מיומות) ופוליפים
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 39:1",,,39) Diagnosis of Infertility in Men; General Medical Introduction / לט) אבחון אי פוריות אצל הגבר; הקדמה רפואית כללית
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 40:1",,,40) Semen Analysis / מ) בדיקת זרע
"Sefer Puah, Second Volume; Fertility, VI Investigation and Diagnosis of Infertility 41:1",,,41) Varicocele; Diagnosis and Treatment / מא) דליות האשך (וריקוצלה); אבחון וטיפול
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 42:1",,VII Treatment of Infertility / חלק שביעי; טיפול באי פוריות,42) Definition of Fertility Treatments from a Halachic Perspective / מב) הגדרת טיפולי הפוריות מבחינה הלכתית
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 43:1",,,43) Peace of Mind and Healthy Couplehood / מג) רוגע נפשי וזוגיות בריאה
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 44:1",,,44) Prayers / מד) תפילות
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 45:1",,,45) Medication Treatment for Infertility / מה) טיפול תרופתי לאי פוריות
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 46:1",,,46) Surgical Hysteroscopy and Laparoscopy / מו) היסטרוסקופיה ניתוחית ולפרוסקופיה
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 47:1",,,47) Tubal Catheterization / מז) צינתור חצוצרות
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 48:1",,,48) Artificial Insemination (IUI) / מח) הזרעה מלאכותית
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 49:1",,,49) In Vitro Fertilization (IVF) / מט) הפריה חוץ גופית
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 50:1",,,50) Embryo Selection to Prevent Genetic Diseases (PGD) / נ) ברירת עוברים למניעת מחלות גנטיות
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 51:1",,,51) Selection of Embryo Gender / נא) בחירת מין העובר
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 52:1",,,52) Egg Donation / נב) תרומת ביצית
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 53:1",,,53) Surrogacy / נג) פונדקאות
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 54:1",,,54) Testicular Biopsy or Testicular Aspiration / נד) ביופסיה של האשך או דיקור האשך
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 55:1",,,55) Sperm Donation / נה) תרומת זרע
"Sefer Puah, Second Volume; Fertility, VII Treatment of Infertility 56:1",,,56) Halachic Supervision / נו) פיקוח הלכתי
"Sefer Puah, Third Volume; Pregnancy and Birth, VIII Pregnancy 57:1",Volume III; Pregnancy and Birth / כרך שלישי; הריון ולידה,VIII Pregnancy / חלק שמיני; הריון,57) Pregnancy / נז) הריון
"Sefer Puah, Third Volume; Pregnancy and Birth, VIII Pregnancy 58:1",,,58) High Risk Pregnancy / נח) הריון בסיכון גבוה
"Sefer Puah, Third Volume; Pregnancy and Birth, VIII Pregnancy 59:1",,,59) Fasting During Pregnancy / נט) צומות בהריון
"Sefer Puah, Third Volume; Pregnancy and Birth, VIII Pregnancy 60:1",,,60) Tests During Pregnancy / ס) בדיקות בהריון
"Sefer Puah, Third Volume; Pregnancy and Birth, IX Miscarriages 61:1",,IX Miscarriages / חלק תשיעי; הפלות,61) Miscarriage / סא) הפלה טבעית
"Sefer Puah, Third Volume; Pregnancy and Birth, IX Miscarriages 62:1",,,62) Abortion / סב) הפלה מלאכותית
"Sefer Puah, Third Volume; Pregnancy and Birth, IX Miscarriages 63:1",,,"63) Pregnancy Loss from a Halachic, Emotional and Faith Perspective / סג) אובדן הריון מבחינה הלכתית, רגשית ואמונית"
"Sefer Puah, Third Volume; Pregnancy and Birth, X Birth 64:1",,X Birth / חלק עשירי; לידה,64) Childbirth / סד) לידה
"Sefer Puah, Third Volume; Pregnancy and Birth, X Birth 65:1",,,65) Premature Birth / סה) לידת פג
"Sefer Puah, Third Volume; Pregnancy and Birth, X Birth 66:1",,,66) Childbirth on Shabbat / סו) לידה בשבת
"Sefer Puah, Third Volume; Pregnancy and Birth, X Birth 67:1",,,67) Childbirth on Yom Kippur and Fast Days / סז) לידה ביום הכיפורים ובתעניות
"Sefer Puah, Third Volume; Pregnancy and Birth, X Birth 68:1",,,68) Postpartum Depression / סח) דיכאון אחרי לידה
"Sefer Puah, Third Volume; Pregnancy and Birth, X Birth 69:1",,,69) Purity of the Woman Who Gave Birth / סט) טהרת היולדת
"Sefer Puah, Third Volume; Pregnancy and Birth, X Birth 70:1",,,70) Death in Childbirth / ע) פטירה בלידה
"Sefer Puah, Third Volume; Pregnancy and Birth, XI Nursing, Circumcision and Redemption of the Firstborn 71:1",,"XI Nursing, Circumcision and Redemption of the Firstborn / חלק אחד עשר; הנקה, ברית מילה ופדיון הבן",71) Nursing / עא) הנקה
"Sefer Puah, Third Volume; Pregnancy and Birth, XI Nursing, Circumcision and Redemption of the Firstborn 72:1",,,72) Nursing on Shabbat / עב) הנקה בשבת
"Sefer Puah, Third Volume; Pregnancy and Birth, XI Nursing, Circumcision and Redemption of the Firstborn 73:1",,,73) Nursing on Yom Kippur and Fast Days / עג) הנקה ביום הכיפורים ובתעניות
"Sefer Puah, Third Volume; Pregnancy and Birth, XI Nursing, Circumcision and Redemption of the Firstborn 74:1",,,74) Circumcision / עד) ברית מילה
"Sefer Puah, Third Volume; Pregnancy and Birth, XI Nursing, Circumcision and Redemption of the Firstborn 75:1",,,75) Redemption of the Firstborn / עה) פדיון הבן
"Sefer Puah, Third Volume; Pregnancy and Birth, XII Contraception 76:1",,XII Contraception / חלק שנים עשר; מניעת הריון,76) Contraception and Family Planning; Halachic Principles / עו) מניעת הריון ותכנון המשפחה; עקרונות הלכתיים
"Sefer Puah, Third Volume; Pregnancy and Birth, XII Contraception 77:1",,,"77) Common Methods of Contraception, Medical Information, Medical Advantages and Disadvantages in Alphabetical Order / עז) האמצעים המקובלים למניעת הריון, מידע רפואי, יתרונות וחסרונות רפואיים לפי סדר א ב"
"Sefer Puah, Third Volume; Pregnancy and Birth, XII Contraception 78:1",,,78) Detailed Halachic Consideration of Various Contraceptive Methods in Alphabetical Order / עח) התייחסות הלכתית פרטנית לאמצעי המניעה השונים לפי סדר א ב
"Sefer Puah, Third Volume; Pregnancy and Birth, XII Contraception 79:1",,,79) Sterilization / עט) סירוס
"Sefer Puah, Third Volume; Pregnancy and Birth, XII Contraception 80:1",,,80) Practical Examples of the Need for Contraception / פ) דוגמאות מעשיות לצורך במניעת הריון
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIII Medical Problems in Gynecology (Women's Medicine) 81:1","Volume IV; Gynecology, Diseases, Society and Research / כרך רביעי; גינקולוגיה, מחלות, חברה ומחקר",XIII Medical Problems in Gynecology (Women's Medicine) / חלק שלושה עשר; בעיות רפואיות בגינקולוגיה (רפואת נשים),81) Uterine Prolapse / פא) צניחת רחם
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIII Medical Problems in Gynecology (Women's Medicine) 82:1",,,82) Hysterectomy and Its Alternatives / פב) כריתת רחם ותחליפיה
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIII Medical Problems in Gynecology (Women's Medicine) 83:1",,,83) Urogynecology / פג) אורוגינקולוגיה
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIII Medical Problems in Gynecology (Women's Medicine) 84:1",,,84) Fungal Infections and Vaginal Infections / פד) פטריות וזיהומים בנרתיק
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIII Medical Problems in Gynecology (Women's Medicine) 85:1",,,85) Endometriosis / פה) אנדומטריוזיס
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIII Medical Problems in Gynecology (Women's Medicine) 86:1",,,86) Menopause / פו) גיל המעבר
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 87:1",,XIV Diseases and Their Impact on Fertility and Marital Relations / חלק ארבעה עשר; מחלות והשפעתן על פוריות ואישות,87) Oncology; Cancer in Women / פז) אונקולוגיה; סרטן אצל נשים
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 88:1",,,88) Oncology; Cancer in Men / פח) אונקולוגיה; סרטן אצל גברים
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 89:1",,,89) Medical Treatments Between Husband and Wife / פט) טיפולים רפואיים בין איש ואשתו
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 90:1",,,90) Marital Relations and Couplehood for Cancer Patients / צ) חיי אישות וזוגיות אצל חולי סרטן
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 91:1",,,91) Appendix; Spiritual and Torah Based Coping with Cancer / צא) נספח; התמודדות רוחנית ותורנית עם מחלת הסרטן
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 92:1",,,92) AIDS and Sexually Transmitted Diseases / צב) איידס ומחלות מין
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 93:1",,,93) Prostate Problems and Methods of Treatment / צג) בעיות בערמונית ודרכי הטיפול בהן
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 94:1",,,94) Surgeries on Male Genitalia / צד) ניתוחים באברי המין הגבריים
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XIV Diseases and Their Impact on Fertility and Marital Relations 95:1",,,95) General Approach to Diseases and Medicine in Relation to Marital Relations and Fertility / צה) התייחסות כללית למחלות ורפואה ביחס לאישות ולפוריות
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XV Family and Society 96:1",,XV Family and Society / חלק חמישה עשר; משפחה וחברה,96) Adoption of Children / צו) אימוץ ילדים
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XV Family and Society 97:1",,,97) Sexual Assault; Prevention and Treatment / צז) תקיפה מינית; מניעה וטיפול
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XVI Scientific Innovations in the Human Body and Future Research 98:1",,XVI Scientific Innovations in the Human Body and Future Research / חלק ששה עשר; חידושים מדעיים בגוף האדם ומחקרים עתידיים,98) Plastic Surgery and Cosmetic Treatments / צח) ניתוחים פלסטיים וטיפולים לנוי
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XVI Scientific Innovations in the Human Body and Future Research 99:1",,,99) Definition of Human Gender and Gender Reassignment Surgery / צט) הגדרת מין האדם וניתוחים לשינוי מין
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XVI Scientific Innovations in the Human Body and Future Research 100:1",,,100) Cloning / ק) שיבוט
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XVI Scientific Innovations in the Human Body and Future Research 101:1",,,"101) Stem Cells, Use and Research in Fetal Tissues / קא) תאי גזע, שימוש ומחקר ברקמות של עוברים"
"Sefer Puah, Fourth Volume; Gynecology, Diseases, Society and Research, XVI Scientific Innovations in the Human Body and Future Research 102:1",,,102) The Human Genome / קב) הגנום האנושי
