prio,Section,English Title,Hebrew Title,Transliterated Title,Completion,Title Variants,Categories,Text Structure,Ready for upload?,Length,Lengths,Order,Genre/Tags,Availability Online,Author,One line bio,Brief description,Talmud Page Numbers
0,6.2.2.10,Jerusalem Talmud Megillah,תלמוד ירושלמי מגילה,Talmud Yerushalmi Megillah,100%,"JT Megillah, Yerushalmi Megillah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,21,Jerusalem Talmud,,,,,
0,6.2.2.11,Jerusalem Talmud Chagigah,תלמוד ירושלמי חגיגה,Talmud Yerushalmi Chagigah,100%,"JT Chagigah, JT Hagigah, Yerushalmi Chagigah, Yerushalmi Hagigah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,22,Jerusalem Talmud,,,,,
0,6.2.2.12,Jerusalem Talmud Moed Kattan,תלמוד ירושלמי מועד קטן,Talmud Yerushalmi Moed Katan,100%,"JT Moed Kattan, JT Mo'ed Kattan, Yerushalmi Moed Kattan, Yerushalmi Mo'ed Kattan","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,23,Jerusalem Talmud,,,,,
0,6.2.3.1,Jerusalem Talmud Yevamot,תלמוד ירושלמי יבמות,Talmud Yerushalmi Yevamot,100%,"JT Yevamot,Yerushalmi Yevamot, Yerushalmi Yevamos","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,24,Jerusalem Talmud,,,,,
0,6.2.3.7,Jerusalem Talmud Sotah ,תלמוד ירושלמי סוטה,Talmud Yerushalmi Sotah,100%,"JT Sotah, Yerushalmi Sotah","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,25,Jerusalem Talmud,,,,,
0,6.2.3.2,Jerusalem Talmud Ketubot ,תלמוד ירושלמי כתובות,Talmud Yerushalmi Ketubot,100%,"JT Ketubot, JT Ktubot, Yerushalmi Ketubot, Yerushalmi Ktubot, Yerushalmi Kesuvos","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,26,Jerusalem Talmud,,,,,
0,6.2.3.3,Jerusalem Talmud Nedarim ,תלמוד ירושלמי נדרים,Talmud Yerushalmi Nedarim,100%,"JT Nedarim, Yerushalmi Nedarim","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,27,Jerusalem Talmud,,,,,
0,6.2.3.4,Jerusalem Talmud Nazir ,תלמוד ירושלמי נזיר,Talmud Yerushalmi Nazir,100%,"JT Nazir, Yerushalmi Nazir","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,28,Jerusalem Talmud,,,,,
0,6.2.3.5,Jerusalem Talmud Gittin ,תלמוד ירושלמי גיטין,Talmud Yerushalmi Gittin,100%,"JT Gittin, Yerushalmi Gittin","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,29,Jerusalem Talmud,,,,,
0,6.2.3.6,Jerusalem Talmud Kiddushin,תלמוד ירושלמי קידושין,Talmud Yerushalmi Kiddushin,100%,"JT Kiddushin, Yerushalmi Kiddushin","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,30,Jerusalem Talmud,,,,,
0,6.2.4.1,Jerusalem Talmud Bava Kamma,תלמוד ירושלמי בבא קמא,Talmud Yerushalmi Bava Kamma,100%,"JT Bava Kamma, Yerushalmi Bava Kamma","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,31,Jerusalem Talmud,,,,,
0,6.2.4.2,Jerusalem Talmud Bava Metsia,תלמוד ירושלמי בבא מציעא,Talmud Yerushalmi Bava Metsia,100%,"JT Bava Metzia, JT Bava Metsia, Yerushalmi Bava Metzia, Yerushalmi Bava Metsia","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,32,Jerusalem Talmud,,,,,
0,6.2.4.3,Jerusalem Talmud Bava Batra ,תלמוד ירושלמי בבא בתרא,Talmud Yerushalmi Bava Batra,100%,"JT Bava Batra, Yerushalmi Bava Batra, Yerushalmi Bava Basra","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,33,Jerusalem Talmud,,,,,
0,6.2.4.6,Jerusalem Talmud Sanhedrin ,תלמוד ירושלמי סנהדרין,Talmud Yerushalmi Sanhedrin,100%,"JT Sanhedrin, Yerushalmi Sanhedrin","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,34,Jerusalem Talmud,,,,,
0,6.2.4.4,Jerusalem Talmud Shevuot,תלמוד ירושלמי שבועות,Talmud Yerushalmi Shevuot,100%,"JT Shvuot, JT Shevuot, Yerushalmi Shvuot, Yerushalmi Shevuot, Yerushalmi Shevuos","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,35,Jerusalem Talmud,,,,,
0,6.2.4.7,Jerusalem Talmud Avodah Zarah,תלמוד ירושלמי עבודה זרה,Talmud Yerushalmi Avodah Zarah,100%,"JT Avodah Zarah, Yerushalmi Avodah Zarah","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,36,Jerusalem Talmud,,,,,
0,6.2.4.5,Jerusalem Talmud Makkot ,תלמוד ירושלמי מכות,Talmud Yerushalmi Makkot,100%,"JT Makkot, Yerushalmi Makkot, Yerushalmi Makkos","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,37,Jerusalem Talmud,,,,,
0,6.2.4.8,Jerusalem Talmud Horayot,תלמוד ירושלמי הוריות,Talmud Yerushalmi Horayot,100%,"JT Horayot, Yerushalmi Horayot, Yerushalmi Horayos","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,38,Jerusalem Talmud,,,,,
0,6.2.5.1,Jerusalem Talmud Niddah,תלמוד ירושלמי נדה,Talmud Yerushalmi Niddah,100%,"JT Niddah, JT Nidah, Yerushalmi Niddah, Yerushalmi Nidah","Talmud, Yerushalmi, Seder Tahorot","Daf, Halakhah",X,,,39,Jerusalem Talmud,,,,,
1,3.4.1,Rashi,"רש""י",Rashi,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
1,3.4.1,Tosafot ,תוספות  ,Tosefot,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Rif,"רי""ף",Rif,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Ramban,"רמב""ן",Ramban,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Ran,"ר""ן",Ran,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Ran (Nedarim),"ר""ן",Ran,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Rashba,"רבש""א",Rashba,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Rashbam,"רשב""ם",Rashbam,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Penei Yehoshua,פני יהושע,Penei Yehoshua,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
2,3.4.1,Perush HaRosh,"פירוש הרא""ש",Perush HaRosh,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Ritva,"ריטב""א",Ritva,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
2,3.4.1,Meiri,מאירי,Meiri,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),Meiri on kidushin in Eng: http://www.rmbsh.com/docs/Meiri.pdf,,,,
2,3.4.1,Chiddushei Rabbi Akiva Eiger,חידושי רבי עקיבא איגר,Chiddushei Rabbi Akiva Eger,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
2,3.4.1,Mordekhai,מרדכי,Mordekhai,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Tosefot Rid,"תוספות רי""ד",Tosefot Rid,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,Isaiah di Trani (the elder),11th/12th century Italian Talmudist,,
3,3.4.1,Rabbenu Chananel,רבינו חננאל,Rabbeinu Chananel,,"ר""ח","Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Maharsha,"מהרש""א",Maharsha,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
3,3.4.1,Tselach (HaShalem),"צל""ח (השלם)",Tselach (HaShalem),,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
3,3.4.1,Chatam Sofer,חתם סופר,Chatam Sofer,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
3,3.4.1,Chiddushei HaRim,"חידושי הרי""ם",Chiddushei HaRim,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,Yitschak Meir Alter of Rothenberg,,,
3,3.4.1,Maharam of Lublin,"מהר""ם מלובלין",Maharam of Lublin,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
3,3.4.1,Yad Ramah,יד רמה,Yad Ramah,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Yam Shel Shelomo,ים של שלמה,Yam Shel Shelomo,,"יש""ש","Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
3,3.4.1,R. Nissim Ga’on,רבינו נסים גאון,Rabbeinu Nissim Gaon,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,R. Samson of Sens,"ר""ש משנץ",Rosh MiShants,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Ra'ah,"רא""ה",Ra'ah,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Rabbenu Gershom ,רבינו גרשום,Rabbeinu Gershom,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Ri Migash,"ר""י מגאש",Ri MiGash,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Tosefot HaRashba,"תוספות הרשב""א",Tosefot HaRashba,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Tosafot Rabbenu Tam,תוספות רבינו תם,Tosefot Rabbeinu Tam,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
3,3.4.1,Tosefot Rosh,"תוספות הרא""ש",Tosefot Rosh,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
4,3.4.1,Aruch LaNer,ערוך לנר,Aruch LaNer,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
4,3.4.1,Hagahot Ashiri,הגהות אשירי,Hagahot Ashiri,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Rosh,,,,,
4,3.4.1,Beit Yaakov,בית יעקב,Beit Ya'akov,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
4,3.4.1,Sefat Emet,שפת אמת,Sefat Emet,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
4,3.4.1,"Shittah Mekubbetzet 
",שיטה מקובצת,Shitah Mekubetset,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,"Commentary on Talmud (Early Commentator), 16th century",,,,,
4,3.4.1,Tosafot Ri HaZaken,"תוספות ר""י הזקן",Tosefot Ri HaZaken,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
4,3.4.1,Hidushei Yaakov Emden,,,,,,,,,,,,,,,,
4,3.4.1,"Chazon Ish (Zera'im and Mo'ed, Yoreh Deah, Taharot Search only)",חזון איש,Chazon Ish,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
4,3.4.1,Chochmat Shlomo,חכמת שלמה,Chochmat Shelomo,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
4,3.4.1,Ein Ayah*,"עין אי""ה",Ayin Ayah,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
4,3.4.1,Maharit,"מהרי""ט",Maharit,,,,,,Only a few masechets,,,,,Joseph Trani,16th/17th century Greek Talmudist,,
5,3.4.1,Daf al hadaf (folio by folio),דף על הדף,Daf al HaDaf,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Dikdukei Sofrim*,דקדוקי סופרים,Dikdukei Sofrim,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator)/Scholarly Apparatus,,,,,
5,3.4.1,Gevurat Ari,גבורת ארי,Gvurat Ari,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Be'er Sheva,באר שבע,Be'er Sheva,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
