prio,Section,English Title,Hebrew Title,Transliterated Title,Completion,Title Variants,Categories,Text Structure,Ready for upload?,Length,Lengths,Order
0,6.2.1.11,Jerusalem Talmud Bikkurim ,תלמוד ירושלמי בכורים,Talmud Yerushalmi Bikkurim,100%,"JT Bikkurim, JT Bikurim, Yerushalmi Bikkurim, Yerushalmi Bikurim","Talmud, Yerushalmi, Seder Zeraim","Daf, Halakhah",X,,,11
0,6.2.2.1,Jerusalem Talmud Shabbat,תלמוד ירושלמי שבת,Talmud Yerushalmi Shabbat,100%,"JT Shabbat, Yerushalmi Shabbat, Yerushalmi Shabbos","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,12
0,6.2.2.2,Jerusalem Talmud Eiruvin,תלמוד ירושלמי עירובין,Talmud Yerushalmi Eiruvin,100%,"JT Eiruvin, JT Eruvin, Yerushalmi Eiruvin, Yerushalmi Eruvin","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,13
0,6.2.2.3,Jerusalem Talmud Pesachim,תלמוד ירושלמי פסחים,Talmud Yerushalmi Pesachim,100%,"JT Pesachim, JT Psachim, Yerushalmi Pesachim, Yerushalmi Psachim","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,14
0,6.2.2.4,Jerusalem Talmud Yoma,תלמוד ירושלמי יומא,Tamud Yerushalmi Yoma,100%,"JT Yoma, Yerushalmi Yoma","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,15
0,6.2.2.5,Jerusalem Talmud Shekalim,תלמוד ירושלמי שקלים,Talmud Yerushalmi Shekalim,100%,"JT Shekalim, JT Shkalim, Yerushalmi Shekalim, Yerushalmi Shkalim","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,16
0,6.2.2.7,Jerusalem Talmud Sukkah,תלמוד ירושלמי סוכה,Talmud Yerushalmi Sukkah,100%,"JT Sukkah, Yerushalmi Sukkah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,17
0,6.2.2.6,Jerusalem Talmud Rosh Hashanah,תלמוד ירושלמי ראש השנה,Talmud Yerushalmi Rosh Hashanah,100%,"JT Rosh HaShanah,Yerushalmi Rosh HaShanah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,18
0,6.2.2.8,Jerusalem Talmud Beitzah,תלמוד ירושלמי ביצה,Talmud Yerushalmi Beitsah,100%,"JT Beitzah, Yerushalmi Beitzah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,19
0,6.2.2.9,Jerusalem Talmud Ta'anit,תלמוד ירושלמי תענית,Talmud Yerushalmi Ta'anit,100%,"JT Ta'anit, JT Taanit, Yerushalmi Ta'anit, Yerushalmi Taanit, Yerushalmi Taanis","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,20
0,6.2.2.10,Jerusalem Talmud Megillah,תלמוד ירושלמי מגילה,Talmud Yerushalmi Megillah,100%,"JT Megillah, Yerushalmi Megillah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,21
0,6.2.2.11,Jerusalem Talmud Chagigah,תלמוד ירושלמי חגיגה,Talmud Yerushalmi Chagigah,100%,"JT Chagigah, JT Hagigah, Yerushalmi Chagigah, Yerushalmi Hagigah","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,22
0,6.2.2.12,Jerusalem Talmud Moed Kattan,תלמוד ירושלמי מועד קטן,Talmud Yerushalmi Moed Katan,100%,"JT Moed Kattan, JT Mo'ed Kattan, Yerushalmi Moed Kattan, Yerushalmi Mo'ed Kattan","Talmud, Yerushalmi, Seder Moed","Daf, Halakhah",X,,,23
0,6.2.3.1,Jerusalem Talmud Yevamot,תלמוד ירושלמי יבמות,Talmud Yerushalmi Yevamot,100%,"JT Yevamot,Yerushalmi Yevamot, Yerushalmi Yevamos","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,24
0,6.2.3.7,Jerusalem Talmud Sotah ,תלמוד ירושלמי סוטה,Talmud Yerushalmi Sotah,100%,"JT Sotah, Yerushalmi Sotah","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,25
0,6.2.3.2,Jerusalem Talmud Ketubot ,תלמוד ירושלמי כתובות,Talmud Yerushalmi Ketubot,100%,"JT Ketubot, JT Ktubot, Yerushalmi Ketubot, Yerushalmi Ktubot, Yerushalmi Kesuvos","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,26
0,6.2.3.3,Jerusalem Talmud Nedarim ,תלמוד ירושלמי נדרים,Talmud Yerushalmi Nedarim,100%,"JT Nedarim, Yerushalmi Nedarim","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,27
0,6.2.3.4,Jerusalem Talmud Nazir ,תלמוד ירושלמי נזיר,Talmud Yerushalmi Nazir,100%,"JT Nazir, Yerushalmi Nazir","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,28
0,6.2.3.5,Jerusalem Talmud Gittin ,תלמוד ירושלמי גיטין,Talmud Yerushalmi Gittin,100%,"JT Gittin, Yerushalmi Gittin","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,29
0,6.2.3.6,Jerusalem Talmud Kiddushin,תלמוד ירושלמי קידושין,Talmud Yerushalmi Kiddushin,100%,"JT Kiddushin, Yerushalmi Kiddushin","Talmud, Yerushalmi, Seder Nashim","Daf, Halakhah",X,,,30
0,6.2.4.1,Jerusalem Talmud Bava Kamma,תלמוד ירושלמי בבא קמא,Talmud Yerushalmi Bava Kamma,100%,"JT Bava Kamma, Yerushalmi Bava Kamma","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,31
0,6.2.4.2,Jerusalem Talmud Bava Metsia,תלמוד ירושלמי בבא מציעא,Talmud Yerushalmi Bava Metsia,100%,"JT Bava Metzia, JT Bava Metsia, Yerushalmi Bava Metzia, Yerushalmi Bava Metsia","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,32
0,6.2.4.3,Jerusalem Talmud Bava Batra ,תלמוד ירושלמי בבא בתרא,Talmud Yerushalmi Bava Batra,100%,"JT Bava Batra, Yerushalmi Bava Batra, Yerushalmi Bava Basra","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,33
0,6.2.4.6,Jerusalem Talmud Sanhedrin ,תלמוד ירושלמי סנהדרין,Talmud Yerushalmi Sanhedrin,100%,"JT Sanhedrin, Yerushalmi Sanhedrin","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,34
0,6.2.4.4,Jerusalem Talmud Shevuot,תלמוד ירושלמי שבועות,Talmud Yerushalmi Shevuot,100%,"JT Shvuot, JT Shevuot, Yerushalmi Shvuot, Yerushalmi Shevuot, Yerushalmi Shevuos","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,35
0,6.2.4.7,Jerusalem Talmud Avodah Zarah,תלמוד ירושלמי עבודה זרה,Talmud Yerushalmi Avodah Zarah,100%,"JT Avodah Zarah, Yerushalmi Avodah Zarah","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,36
0,6.2.4.5,Jerusalem Talmud Makkot ,תלמוד ירושלמי מכות,Talmud Yerushalmi Makkot,100%,"JT Makkot, Yerushalmi Makkot, Yerushalmi Makkos","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,37
0,6.2.4.8,Jerusalem Talmud Horayot,תלמוד ירושלמי הוריות,Talmud Yerushalmi Horayot,100%,"JT Horayot, Yerushalmi Horayot, Yerushalmi Horayos","Talmud, Yerushalmi, Seder Nezikin","Daf, Halakhah",X,,,38
0,6.2.5.1,Jerusalem Talmud Niddah,תלמוד ירושלמי נדה,Talmud Yerushalmi Niddah,100%,"JT Niddah, JT Nidah, Yerushalmi Niddah, Yerushalmi Nidah","Talmud, Yerushalmi, Seder Tahorot","Daf, Halakhah",X,,,39
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
