,Term in Hebrew,Plural Form and Alternative Spellings - English,Plural Form and Alternative Spellings - Hebrew,Prime Location(s),Proposed Definition,See Also (other terms)
Kometz,קומץ,,,,"a handful of the meal offering, which the priest takes to be put on the altar",
Konam,,,,nedarim,Introductory expression indicating a vow not to do or use something,
Kor,כור,,,,specific unit of volume,
Lechem Hapanim,לחם הפנים,,,,twelve specially shaped unleavened loaves offered each Shabbat on the golden table in the Temple,
Leket,לקט,,,,"Individual stalks which fall during harvest, which must be left for the poor to glean",
Letekh,לתך,,,,specific unit of volume,
Log,לג,,,,a biblical unit of liquid measurements,
Luf,לוף,,,,plant,
Ma'aser Rishon,מעשר ראשון,,,,"The first tithe of produce, which must be given to the Levi",
Ma'aser Sheni,מעשר שני,,,,"The second tithe of produce, which must be taken to Jerusalem and consumed there",
Mamzer/Mamzeret,ממזר/ת,,,Sotah 4:1,the offspring of a severely pronibited union between a Jewish man and woman,
Matir,מתיר,matirim,מתירים,,that which enables a sacrifice to fulfill its purpose,
Mechusar Kippurim,מחסר כפורים,,,,One who has purified himself via immersion but still needs to bring an sacrifice before eating from offerings ,
Medumeh,מדומה,,,,A mixture of Terumah and Chullin,
Me'ilah, מעילה,,,,Misuse of consecrated property,
Melikah,מליקה,,,,"slaughtering method used for bird sacrificies, employing the thumbnail instead of a knife",
Maneh,מנה,,,,specific unit of weight,
Marit Ha'Ayin,מראית העין,Marit Ayin,מראית עין,,"An action or situation which might be misinterpreted by the casual viewer, who might think it involves a transgression where there is none, or come to permit forbidden actions based on what he has seen",
Menorah,מנורה,,,,The Temple candelabrum,
Metzorah,מצורע,metzoraim,מצורעים,,"One rendered severely impure from an unsightly skin disease. Upon recovery and purification, he must bring offerings.",
Motzi Shem Ra,מוציא שם רע,,,,A man who falsely accuses his bride of not having been a virgin,
Musaf,מוסף,Musafim,מוספים,,Additional sacrifices offered on Shabbat and holidays,
Nazir,נזיר,,,,"a person who swears abstention from all grape products like wine, from cutting his hair, and avoidance of corpse impurity",
Nega,נגע,Negaim,נגעים,,"diseased patches on skin, clothes, or houses that create impurity",
Netek,נתק,Netakim,,,diseased patches on the head or beard,
Netin/Netinah,נתינ/ה,,,Sotah 4:1,"member of a caste of Temple servants, historically descended from the Gibeonites",
Nevelah,נבלה,"Neveilah, Nevelot, Neveilot",נבלות,,An improperly slaughtered animal of a permitted species,
Niddah,נידה,Niddot,נידות,,A female who has menstrual discharges which render her impure,
Nikuf,נקוף,,,Pe'ah 8:3,olives declared ownerless by the owner,
Notar,נותר,,,,"a sacrifice that becomes unfit, due to being left unconsumed until after the time limit for its consumption",
Olah,עולה,Olot,"עולות, עלות",,offering that is entirely burnt,
Olelet,עוללת,Olelot,עוללות,,Individual grapes that do not grow in clusters and must be left on the vine for the poor,
Omer,עומר,,,,"The special barley offering, offered the day after Pesach, which permits grain harvested in the last year to be eaten",
Onen,אונן,,,,A person whose close relative has died but has not yet been buried,
Orlah,ערלה,,,,"The fruit of a tree during the first three years after its planting, the consumption or usage of which is forbidden",
Patukh,פתוך,,,,red-tinge,
Pe'ah,פאה,,,,"Requirement to leave, when harvesting, a corner of the field for the poor",
Peret,פרט,,,,Individual grapes which fall during the grape-harvest which must be left for the poor to collect,
Piggul,פגול,,,,"a sacrifice that becomes unfit, due to the intention of the officiating priest, while offering it, to consume it after its permitted time",
Poletet Shichvat Zera,פולטת שכבת זרע,,,,A female who has a a discharge of seman within three days of having relations,
Pruzbul,פרוזבול,,,,"Legal arrangement which avoids the mandatory Sabbatical year cancellation of personal debts by deeding them to the court, and being subsequently appointed their agent for collection",
Revi'it,רביעית,,,,specific unit of volume,
Rosh Chodesh,ראש חודש,Rashei Chodashim,ראשי חודשים,,"The first day of the new month, one which special prayers and sacrifices are offered",
Rosh Hashanah,ראש השנה,Rashei Shanim,ראשי שנים,,"One of several New Year's festivals, usually, the New Year which begins in Tishrei",
Rova,רבע,,,,specific unit of volume,
Se'ah,סאה,Se'atayim (two),סאתים,,specific unit of volume,
Se'eit,שאת,,,,type of diseased patch that creates impurity,
Sela,סלע,,,,"specific unit of weight, coin",
Sheretz,שרץ,Shekatzim,שקצים,,Creeping animals,
Shekatzim U'Remasim,שקצים ורמשים,,,,"Small animals, such as reptiles, insect, or rodents, which move by scurrying, creeping, slithering, etc.",
Sheminit,שמינית,,,,specific unit of volume,
Semichah,סמיכה,,,,"Placing both hands  on the head of a sacrificial animal and leaning with all once's force, an action required for many sacrifices",
Shalmei Simchai,שלמי שמחה,,,,Shelamim offerings brought to fulfill one's obligation to rejoice on the pilgrimage festivals,
Shelamim,שלמים,,,,"An offering whose various parts are consumed by its owners, the Kohanim and the fire on the altar",
Shikhecha,שכחה,,,,"Indivudual sheaves, forgotten in the field, which must be left for the poor to collect",
Shiv'at Haminim,שבעת המינים,,,,The seven species of produce with which the Land of Israel is blessed,
Shomeret Yavam,שומרת יבם,,,Sotah 4:1,widow of childless man whose brother has neither married her nor released her from the obligation of Levirite marriage,
Shtei Halechem,שתי הלחם,,,,"The two leavened loaves of wheat brought as offerings on Shavuot, which permitted using the new grain for holy offerings.",
Sotah,סוטה,,,,"a woman accused by her husband of adultery, to be subjected to a trial by ordeal",
Tamid,תמיד,Temidim,תמידים,,"Communal burnt-offering offering twice daily in the Temple, once at dawn and once in the late afternoon",
Tashlumei Kefel,תשלומי כפל,,,,Double payment made by a convicted thief,
Tashlumin,תשלומין,,,,payments for what was wrongfully eaten,
Tefach,טפח,Tefachim,טפחים,,specific unit of length,
Tekhelet,תכלת,,,,The blue-dyed wool used for Tzitzit and priestly garments,
Temurah,תמורה,,,,"an animal which has been substituted, wrongfully, for a sacrificial animal, and which thereby becomes sanctified for certain purposes",
Terefah,טרפה,"Tereifah, Terefot, Tereifot",טרפות,,An animal with a mortal condition such that it would die within one year,
Terumah,תרומה,Terumot,תרומות,,"A portion of a crop given to a Kohen which becomes holy upon separation, and can only be consumed by Kohanim or their household",
Terumat HaLishkah,תרומת הלשכה,,,Nedarim 2:4,A Temple fund used for purchase of sacrificial animals for public sacrifices and their appurtenances,
Terumat Ma'aser,תרומת מעשר,,,,"A tenth of the tithe given to a Levi which must, in turn , be given to a Kohen and which becomes holy upon separation, and can only be consumed by Kohanim or their household",
Tevul Yom,,,,,a person who has immersed that day for purification but who must wait for night-fall to be fully pure,
Yashan,ישן,,,,Grain from the previous year's that one is permitted to eat,
Zar,זר,,,,Someone who is not a Kohen,
Zav,זב,Zavim,זבים,,"A male who has certain types of atypical genital discharges, which render him impure",
Zavah,זבה,Zavot,,,"A female who has certain types of atypical genital discharges, distinct from her menses, which render her impure",
Zimun,זימון,,,,"Calling those who have eaten together, minimally three, to join together for the after-meal blessing",
Zugot,זוגות,,,,Pairs of leading Sages from the earliest years of the Tannaitic period,
Zuz,זוז,,,,specific unit of weight,
Baitusim,בייתוסים,,,,"a sect akin to the Sadducees, who rejected the Oral Torah",
